track_artist,n_tracks,n_albums,playlist_reach,n_genres,n_subgenres,avg_popularity,max_popularity,std_popularity,latest_release,dominant_genre,dominant_subgenre,avg_danceability,avg_energy,avg_loudness,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,days_since_release,recency_score,campaign_lift_score,relevance_grade,artist_id
Nacho,13,9,11,2,4,51.15384615384615,69,21.651967400393257,2019-12-13,latin,reggaeton,0.7826923076923078,0.8102307692307692,-4.555384615384615,0.12977692307692307,0.1646076923076923,0.0015266746153846154,0.08977692307692307,0.6702307692307693,130.48053846153846,38,0.9057071960297767,1.7615032518764109,9,Nacho
Nachtmahr,3,3,1,1,1,0.0,0,0.0,2010-01-29,pop,electropop,0.622,0.945,-5.657666666666667,0.0659,0.0016703333333333333,0.25583643333333334,0.45566666666666666,0.4086666666666667,140.69,3643,0.09106786427145708,-1.6552949134722845,0,Nachtmahr
Naeleck,9,6,2,1,2,33.333333333333336,50,11.445523142259598,2020-01-10,edm,electro house,0.6844444444444444,0.8497777777777777,-3.8788888888888895,0.1451,0.0016224444444444446,0.3718923333333333,0.3277666666666667,0.3181111111111111,130.46177777777777,10,0.9733333333333333,0.2957338924894456,6,Naeleck
Naezy,3,3,1,1,1,34.0,45,18.193405398660254,2017-11-04,rap,hip hop,0.6796666666666668,0.8726666666666666,-4.163333333333333,0.249,0.18246666666666667,0.010256,0.29733333333333334,0.5933333333333333,163.64466666666667,807,0.3114334470989761,0.9822671373599844,7,Naezy
Nana Mendoza,2,2,1,1,1,40.5,42,2.1213203435596424,2019-09-20,latin,tropical,0.5675,0.1885,-15.347,0.06795000000000001,0.9255,9.65e-05,0.167,0.675,130.691,122,0.7494866529774128,-0.19746949691497767,3,Nana Mendoza
Nancy Wilson,2,2,1,1,1,43.0,43,0.0,2006-01-01,r&b,neo soul,0.3755,0.1565,-13.805,0.03715,0.621,0.0,0.08,0.3225,110.5975,5132,0.0663998544660724,-2.6490273514612657,0,Nancy Wilson
Nanpa Básico,2,2,2,2,2,64.5,71,9.192388155425117,2019-11-29,latin,hip hop,0.8240000000000001,0.466,-9.253,0.21675,0.441,0.0,0.0946,0.603,132.4235,52,0.8752997601918464,1.1547526180451877,7,Nanpa Básico
Nao,4,4,4,1,2,56.25,63,5.737304826019502,2018-10-26,r&b,urban contemporary,0.5495,0.5255,-6.54525,0.107625,0.513625,4.1964999999999995e-05,0.089775,0.45425,122.17225,451,0.4473039215686275,1.1427839891577467,8,Nao
Nappy Roots,6,3,1,1,1,36.333333333333336,49,10.838204033264306,2015-05-05,rap,southern hip hop,0.7186666666666667,0.7993333333333333,-4.8795,0.2733333333333334,0.11933500000000001,0.0,0.3195666666666667,0.6391666666666667,131.98533333333333,1721,0.17497603068072867,-0.48313878630463347,3,Nappy Roots
Nas,17,11,6,2,2,29.176470588235293,68,29.987987791192424,2007-11-06,rap,gangster rap,0.7137058823529411,0.7110588235294117,-6.496352941176471,0.27941176470588236,0.05377570588235295,0.002538606470588235,0.19472352941176468,0.5428235294117647,94.21570588235294,4458,0.07567903794318888,0.5066269544687731,6,Nas
Nash Hawkins,2,2,1,1,1,5.5,6,0.7071067811865476,2019-08-30,edm,progressive electro house,0.7555000000000001,0.6579999999999999,-8.4255,0.10785,0.21800000000000003,0.8614999999999999,0.10250000000000001,0.3245,131.0295,143,0.718503937007874,-1.872209652059976,0,Nash Hawkins
Natania,4,4,1,1,1,35.5,37,0.9999999999999993,2019-08-30,latin,tropical,0.7575000000000001,0.5645,-7.4505,0.132625,0.09898,0.00015568499999999997,0.14925,0.44725000000000004,117.25025,143,0.718503937007874,-1.3543228753887337,0,Natania
Natasha Bedingfield,2,1,2,2,2,59.0,76,24.041630560342615,2004-08-30,pop,post-teen pop,0.6559999999999999,0.6905,-6.67,0.0377,0.063885,0.0,0.09025,0.509,115.435,5621,0.06097560975609757,0.25042243296857586,5,Natasha Bedingfield
Nate VanDeusen,5,3,2,2,2,33.6,37,4.219004621945797,2019-07-05,latin,tropical,0.6056,0.6900000000000001,-7.697799999999999,0.10459999999999998,0.38280000000000003,0.0003938,0.26596000000000003,0.6992,129.64499999999998,199,0.6471631205673759,-1.6672896380315785,0,Nate VanDeusen
